Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,,
Marsileaceae,Marsilea,drummondii,"Common Nardoo, Nardoo",medium,"[8, 9, 10, 11]",0.3,1-3 feet (30-90 cm),FERN,"Fern-like, divided into four leaflets, green","Small, inconspicuous, produced in clusters",Not applicable (as it primarily reproduces via spores),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],"Flood tolerant, drought tolerant, can tolerate poor soil conditions","Growing in mud and shallow water in the montane zone, spreading widely in all mainland states[154].",Australia.,(1 of 5),(0 of 5),(0 of 5),,
Ephedraceae,Ephedra,distachya,"Sea Grape, Jointfir",medium,"[5, 6, 7, 8, 9]",to,1,evergreen,"Needle-like, evergreen",July.,N/A (Ephedra distachya does not produce fleshy fruits),dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Semi-desert and desert regions and on gritty slopes on the Russian steppes[74]. Grasslands, sandy places and rocky mountain slopes below 900 metres in China[266].",S. Europe to N. Asia.,(2 of 5),(4 of 5),(3 of 5),,
Ephedraceae,Ephedra,nevadensis,"Mormon Tea, Nevada jointfir",medium,"[5, 6, 7, 8, 9]",to,1-3 feet,evergreen,"Scale-like, green, 1-2 mm long",April to June.,Late summer to early fall,dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry, rocky slopes and hills, rarely in sandy flat areas, at elevtions of 700 - 1900 metres[270].","South-western N. America - Arizna, California, Nevada, Oregon and Utah.",(3 of 5),(3 of 5),(0 of 5),,
Ephedraceae,Ephedra,viridis,"Mormon Tea, Brigham Tea, Long Leaf Ephedra, Mountain Joint Fir, Mormon Tea, Ephedra",medium,"[5, 6, 7, 8, 9]",to,2-3 feet,evergreen,"Needle-like, green, 1-2 inches long",April to May.,N/A (Ephedra does not produce fruit, it has cones),dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry rocky slopes, gravel terraces and canyon walls, often on limestone, at elevations of 800 - 2500 metres[270].",South-western N. America - California to Colorado and Arizona.,(2 of 5),(3 of 5),(1 of 5),
Araucariaceae,Araucaria,angustifolia,"Parana Pine. Brazilian-pine, Candelabra-tree.",slow,[],to,28,evergreen,"Needle-like, dark green, 3-5 cm long","Monoecious; male cones cylindrical, 5-10 cm long; female cones large, round, 10-20 cm in diameter",Seeds ripen in late summer to early fall,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],"A dominant component of tropical, seasonal, mixed moist forest, occurring at elevations between 600 - 2,300 metres[349 ].","S. America - southern Brazil, Paraguay, northern Argentina.",(3 of 5),(1 of 5),(3 of 5),,
Araucariaceae,Araucaria,araucana,Monkey Puzzle Tree,slow,[],to,15,evergreen,"Needle-like, spirally arranged, dark green, 2-4 cm long",June to July,September to October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Mountain slopes in deep sandy soils in coniferous woodland, usually with Nothofagus spp[139].",S. America - S. Chile,(5 of 5),(1 of 5),(3 of 5),,
Araucariaceae,Araucaria,bidwilli,"Bunya-Bunya, Monkey Puzzle Tree, False Monkey Puzzle",medium,[],to,20-30 feet (6-9 meters),evergreen,"Needle-like, glossy green, 1-3 inches (2.5-7.5 cm) long",June,September to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought tolerant once established, tolerates poor soil conditions","Rich volcanic soils in moist valleys at low elevations near the coast[81, 167].",Australia - Queensland.,(3 of 5),(0 of 5),(2 of 5),,
Cupressaceae,Juniperus,californica,"Californian Juniper, Chuperosa",slow,[],to,4-10 feet (1.2-3 meters),evergreen,"Scale-like, green to blue-green, 1-5 mm long",February to April,October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry rocky, gravelly or sandy soils on dry mountain slopes and hills, 120 - 1200 metres[82, 229].",South-western N. America - California.,(2 of 5),(1 of 5),(2 of 5),,
Cupressaceae,Juniperus,communis,"Juniper, Common juniper",slow,[],to,4,evergreen,"Needle-like, scale-like, or awl-shaped, typically green to blue-green in color",May to June,October,dioecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']","Chalk downs in S. England but only where there is least sunshine and most rain, heaths, moors, pine and birch woods in the north of Scotland on acid peat, often dominant on chalk, limestone and slate.","Northern temperate zone, incl Britain, south to the mountains of N. Africa, Himalayas and California",(3 of 5),(3 of 5),(4 of 5),,
Cupressaceae,Juniperus,deppeana,Alligator Juniper,slow,"[7, 8, 9]",to,15-30 feet (4.5-9 meters),evergreen,"Scale-like, green to bluish-green, 1-5 mm long",February to March,October to November,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Open oak or pine woodlands[229] on dry, arid mountain slopes, 1200 - 1800 metres[82].","South-western N. America - Texas, Arizona and Mexico.",(3 of 5),(0 of 5),(2 of 5),,
Cupressaceae,Juniperus,drupacea,Syrian Juniper,medium,"[6, 7, 8, 9]",to,2,evergreen,"Scale-like, green to blue-green, arranged in whorls","Monoecious; small, inconspicuous, with male cones cylindrical and female cones berry-like, maturing to a bluish color",October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Rocky slopes in forest or scrub, 1000 - 1500 metres in Turkey[93].","S. Europe, W. Asia, N. Africa.",(3 of 5),(0 of 5),(0 of 5),,
Cupressaceae,Juniperus,monosperma,One-Seed Juniper,medium,"[4, 5, 6, 7, 8]",to,3-10 feet (0.9-3 meters),evergreen,"Needle-like, 0.5-1 inch long, green to blue-green in color",April,October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry rocky or sandy soils, 1000 - 2300 metres[229].",South-western N. America - along the Rocky Mountains from Wyoming to Mexico.,(3 of 5),(2 of 5),(3 of 5),,
Cupressaceae,Juniperus,occidentalis,Western Juniper,slow,"[4, 5, 6, 7, 8]",to,10-30 feet (3-9 meters),evergreen,"Scale-like, evergreen, 1-5 mm long","Monoecious; small, inconspicuous, male cones are yellowish, female cones are berry-like, blue to purple when mature",October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Usually found on thin rocky or sandy soils[229] on desert foothills and lower mountains[60], also on windswept peaks[82] up to elevations of 3,000 metres where they become low gnarled shrubs[229].",Western N. America - British Columbia to the Sierra Nevada.,(3 of 5),(2 of 5),(3 of 5),,
Cupressaceae,Thuja,occidentalis,"American Arbor-Vitae, Arborvitae,  Eastern Arborvitae, Siberian Arborvitae, Northern White Cedar, Wh",slow,"[3, 4, 5, 6, 7]",to,5,evergreen,"Scale-like, evergreen, dark green to yellow-green, arranged in flattened sprays",April to May,September to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[],"Drought-tolerant, tolerant of poor soil conditions, moderately tolerant of salt spray","Swamps and cool rocky banks of streams[43], forming dense almost impenetrable forests[82, 165]. Also found on rocky soils[226]. Plants are usually found on neutral to alkaline limestone soils[226].","Eastern N. America - Nova Scotia to Georgia, west to Illinois and Minnesota.",(2 of 5),(3 of 5),(3 of 5),,
Cupressaceae,Thuja,plicata,"Western Red Cedar,  Giant Arborvitae, Giant Cedar, Incense Cedar,  Western Red Cedar",fast,"[5, 6, 7, 8]",to,12,evergreen,"Scale-like, evergreen, dark green, arranged in opposite pairs or whorls, with a fragrant aroma when crushed.",March to April,September to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[],['maritime exposure'],"Grows singly and in small groves in moist to swampy soils, usually in shady forests, from sea-level to 1350 metres[60, 82, 99].",Western N. America - British Columbia to California.,(1 of 5),(2 of 5),(5 of 5),,
Pinaceae,Abies,balsamea,Balsam Fir,slow,"[3, 4, 5, 6]",to,5,evergreen,"Needle-like, flat, dark green, 1-2 inches long, with a pleasant fragrance when crushed.",May,September to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Cold hardy, moderately drought tolerant, prefers moist, well-drained soils.",Low swampy grounds where it is often the major component of forests[82]. Also found on well-drained hillsides[82].,"North-eastern N. America - Newfoundland to Virginia, west to Alberta, Michigan and Ohio.",(3 of 5),(5 of 5),(3 of 5),,
Pinaceae,Larix,laricina,"Tamarack, Hackmatack, American Larch",medium,"[2, 3, 4, 5]",18,20-30 feet (6-9 meters),deciduous,"Needle-like, 1-2 inches (2.5-5 cm) long, deciduous, turning yellow in fall",March to April,October,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],"Cold hardy, tolerates wet soils, moderate drought tolerance","Often forming pure forests in the south of its range in swamps and wet soils[43, 82, 222], sometimes also on dry plateau or slopes in the north of its range[82, 226].","Northern N. America - Alaska to Labrador, south to West Virginia.",(2 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,cembroides,"Mexican Pine Nut, Pinyon Pine",slow,"[5, 6, 7, 8]",to,5,evergreen,"Needle-like, 2-5 inches long, in clusters of 2 or 3, dark green in color",May to June,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Hot arid mountain slopes above 2000 metres, with juniper and scrub oak[82, 181]. Usually in poor, shallow, rocky or gravelly soils[229].","Southern N. America - Arizona to Texas, south to Mexico.",(4 of 5),(2 of 5),(4 of 5),,
Pinaceae,Pinus,edulis,"Rocky Mountain Piñon, Twoneedle pinyon, Nut Pine, Pinyon Pine, Rocky Mountain Pinyon Pine, Singlelea",slow,"[5, 6, 7, 8]",to,15-25 feet (4.5-7.5 meters),evergreen,"Needle-like, 1-3 inches long, in pairs (two needles per fascicle)","Monoecious; male cones are small and cylindrical, while female cones are woody and mature to 2-4 inches long",October,monoecious,"['light', 'medium']",mildly acid and neutral soils and can grow in very acid,"[' well-drained soil', 'dry or  moist soil']",['drought'],Eastern foothills of the outer reaches of the Rockies on arid mesas in pure stands or with junipers[120].,South-western N. America - Rocky mountains.,(4 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,gerardiana,Chilghoza Pine,slow,"[6, 7, 8, 9]",to,20-30 meters,evergreen,"Needle-like, 8-15 cm long, in bundles of 2-3",May to June,October,monoecious,"['light', 'medium', 'heavy', 'heavy']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Dry inner valleys[51], usually on limestone[120], to 3000 metres. Gregarious on dry steep rocky slopes on granite or clay slate in areas beyond the reach of the S.W. monsoons[146].",E. Asia - Afghanistan and the N. W. Himalayas.,(3 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,koraiensis,"Korean Nut Pine, Chinese pinenut",medium,"[4, 5, 6, 7]",to,20-30 meters,evergreen,"Needle-like, 8-15 cm long, in bundles of 5",May,September,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Dry mountain slopes, especially those facing north, to 2600 metres[74, 120].","E. Asia - China, Korea, Manchuria, Siberia.",(4 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,lambertiana,Sugar Pine,fast,"[6, 7, 8, 9]",to,30-50 feet (9-15 meters),evergreen,"Needle-like, 2-5 inches (5-13 cm) long, in bundles of 5",May to June,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Cool, usually fairly moist, mixed coniferous woods in mountainous areas[60], growing best on deep well-drained soils[22].",South-western N. America - California to Oregon.,(3 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,monophylla,"Single Leaf Piñon, Single Leaf PinyonPine, Stone Pine,  Pine Pinyon",medium,"[6, 7, 8]",to,15-25 feet (4.5-7.5 meters),evergreen,"Needle-like, 1 inch long, typically in clusters of one","Monoecious; produces small cones, male cones are cylindrical and yellow, female cones are round and woody",October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Arid slopes at low elevations[120], growing in pinyon-juniper woodlands[229]. Often forms extensive open forests at elevations of 1500 - 2100 metres[82].","Western N. America - Utah to Nevada, Arizona and California.",(4 of 5),(2 of 5),(5 of 5),,
Pinaceae,Pinus,pinea,"Italian Stone Pine, Umbrella Pine, Stone Pine",medium,[],to,10,evergreen,"Needle-like, 10-20 cm long, in bundles of two or three, dark green in color",May to June,April,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil', 'dry or  moist soil']",['drought'],Maritime sands and alluvium[89].,S. Europe around the Mediterranean.,(4 of 5),(2 of 5),(4 of 5),,
Pinaceae,Pinus,ponderosa,"Ponderosa Pine, Washoe pine",medium,"[4, 5, 6, 7, 8]",to,7,evergreen,"Needle-like, 5-10 inches long, in bundles of 3, dark green to yellow-green",June,October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Found in a variety of soils from sea level to 2800 metres[229], though mainly inland and in drier areas[60]. The best growth is from trees growing in deep well-drained soils[229].",Western N. America - British Columbia to N. Mexico.,(3 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,pumila,Dwarf Siberian Pine,slow,"[3, 4, 5, 6, 7]",to,5,evergreen,"Needle-like, 2-5 cm long, in clusters of two","Monoecious; male cones cylindrical, 2-4 cm long; female cones ovoid, 3-6 cm long, maturing in 2 years",September,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],Often forms extensive thickets in exposed situations or above the tree line[11]. Mountains at elevations of 1000 - 2300 metres in northern China[266].,"N.E. Asia - China, Japan, Korea, Mongolia and Siberia.",(3 of 5),(2 of 5),(3 of 5),,
Pinaceae,Pinus,strobus,"White Pine, Eastern white pine",medium,"[3, 4, 5, 6, 7]",to,5,evergreen,"Needle-like, 3 to 5 inches long, in bundles of five","Monoecious; male cones are cylindrical and yellowish, while female cones are long, cylindrical, and green to brown when mature",October,monoecious,"['light', 'medium']",mildly acid and neutral,"[' well-drained soil', 'dry or  moist soil']",['drought'],"Woods, especially on sandy drift soils or fertile well-drained soils, sometimes on river banks and rarely in swamps[82]. Often forming dense forests[235].","Eastern N. America - Newfoundland to Manitoba, south to Georgia.",(2 of 5),(3 of 5),(3 of 5),,
Pinaceae,Pinus,sylvestris,"Scot's Pine, Scotch Pine",fast,"[3, 4, 5, 6, 7]",to,10,evergreen,"Needle-like, 2-5 inches long, in pairs (fascicles) of two, evergreen, with a dark green color.",May,March to June,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil', 'dry moist or  wet soil']","['drought', 'maritime exposure', 'atmospheric pollution']","Forming woods in the mountains of Scotland[7, 9].","Europe, including Britain, from Scandanavia south and east to Spain, Albania and temperate Asia.",(2 of 5),(3 of 5),(5 of 5),,
Podocarpaceae,Dacrycarpus,dacrydioides,Kahikatea,slow,[],to,20-30 meters,evergreen,"Needle-like, dark green, 2-4 cm long","Inconspicuous, unisexual, small clusters",Seeds ripen in late summer to early autumn,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Wet soil, shade, drought (once established)","Lowland forest, often dominant in swamp forests, North, South and Stewart Islands[44].",New Zealand.,(2 of 5),(0 of 5),(3 of 5),,
Podocarpaceae,Podocarpus,elatus,Australian Plum,medium,"[9, 10, 11]",to,15-25 feet,evergreen,"Evergreen, lanceolate, glossy green leaves, 2-4 inches long","Inconspicuous, small, greenish flowers; dioecious with male and female cones",October,dioecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],['maritime exposure'],"Coastal scrub forest[167]. Once a common tree in Australia, it is now rare due to the destruction of the rainforests[193].","Australia - New South Wales, Queensland, Victoria.",(2 of 5),(0 of 5),(2 of 5),,
Cephalotaxaceae,Torreya,californica,California Nutmeg,slow,"[6, 7, 8, 9]",to,8,evergreen,"Needle-like, dark green, 2-4 inches long, arranged spirally on the stem",May,September to November,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline",[],"Drought-tolerant, prefers well-drained soils, moderately tolerant of shade","Rare and local along mountain streams, protected slopes, creek bottoms, and moist canyons of the Coastal Range and Sierra Nevada from sea level to 2000 metres[270].",South-western N. America - California.,(3 of 5),(1 of 5),(2 of 5),,
Cephalotaxaceae,Torreya,grandis,Chinese Nutmeg Tree,slow,[],to,20-30 feet,evergreen,"Dark green, glossy, linear to lanceolate, 2-4 inches long",April,October to November,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, tolerates partial shade","Woodlands, 1000 - 1600 metres[109]. Mountains, open valleys, often by streams, on yellow, red, and dark soils at elevations of 200 - 1400 metres[266].",E. Asia - C. and E. China.,(2 of 5),(1 of 5),(3 of 5),,
Cephalotaxaceae,Torreya,nucifera,"Kaya, Japanese torreya",slow,"[6, 7, 8]",to,10,evergreen,"Dark green, leathery, linear to lanceolate, 5-10 cm long","Small, inconspicuous, unisexual, borne in axillary clusters; male flowers are yellowish, while female flowers are greenish",September to November,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, prefers well-drained soils, moderately tolerant of shade",Moist valley bottoms[81].,E. Asia - C. and S. Japan.,(5 of 5),(2 of 5),(0 of 5),,
Taxaceae,Taxus,baccata,"Yew, English yew,  Common Yew",slow,"[5, 6, 7]",to,10,evergreen,"Needle-like, dark green, 2-5 cm long, arranged spirally but appearing in two flat rows.",March to April,September to November,dioecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil', 'dry or  moist soil']","['drought', 'atmospheric pollution']","Woods and scrub, usually on limestone. It sometimes forms pure stands in sheltered sites on chalk in the south-east and on limestone in the north-west[17].","Europe, incl Britain, from Scandanavia south and east to N. Africa, the Caucasus, Iran, Himalayas.",(3 of 5),(4 of 5),(4 of 5),,
Illiciaceae,Illicium,verum,"Ba Jiao Hui Xian, Staranise tree",medium,"[8, 9, 10]",to,3,evergreen,"Evergreen, lanceolate, glossy green",March to May,October,hermaphrodite,"['light', 'medium']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],"Drought tolerant, salt tolerant","Light woodland and thickets[200]. Forests at elevations of 200 - 1600 metres in S and W Guangxi Province, China[266].","E. Asia - China, Vietnam.",(3 of 5),(3 of 5),(1 of 5),,
Schisandraceae,Kadsura,japonica,,medium,"[6, 7, 8, 9]",to,3-6 feet,evergreen,"Glossy, dark green, ovate leaves",June to September.,Late summer to early fall,dioecious,"['light', 'medium', 'heavy']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],"Shade tolerant, drought tolerant once established","Climbs trees in woodlands[58]. Forests and slopes at elevaions of 500 - 2000 metres in Fujian and Taiwan Provinces, China[266].","E. Asia - southern China, central and southern Japan.",(2 of 5),(1 of 5),(0 of 5),,
Schisandraceae,Schisandra,chinensis,"Magnolia Vine, Wu Wei Zi",medium,"[4, 5, 6, 7, 8]",9,3-6 feet (0.9-1.8 meters),deciduous,"Alternate, simple, ovate to elliptical, 3-6 inches long, glossy green",April to May,August to October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant once established, tolerates partial shade, prefers well-drained soil","Mixed forests, especially on the margins, also by streams and brooks, usually on sandy soils[74].","E. Asia - China, Japan, Korea.",(4 of 5),(5 of 5),(2 of 5),,
